"S_N0				",USER_LATITUDE,USER_LONGITUDE,USER_LOCATION,STATION NAME,OUTPUT_LATITUDE,OUTPUT_LONGITUDE,STATION_LOCATION,Distance
16,19.49428,-159.441045,"(19.49428, -159.441045)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",245.59825663811753 km
17,19.49465,-158.140095,"(19.49465, -158.140095)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",189.69165426438428 km
18,19.49616,-156.513087,"(19.49616, -156.513087)",Kaiser Permanente Kona Medical Office,19.67427,-156.01439,"(19.67427, -156.01439)",55.91409875931301 km
19,19.49767,-155.163197,"(19.49767, -155.163197)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",24.19790524856304 km
20,19.49799,-159.098407,"(19.497989999999998, -159.098407)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",227.115153003014 km
21,19.49877,-159.050338,"(19.49877, -159.05033799999998)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",224.82989671822145 km
22,19.49925,-159.409738,"(19.49925, -159.40973799999998)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",243.32131010559934 km
23,19.49943,-157.484175,"(19.49943, -157.484175)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",150.6876162615652 km
24,19.50365,-157.292842,"(19.50365, -157.29284199999998)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",133.87824878494948 km
25,19.50528,-155.485118,"(19.50528, -155.485118)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",47.78726883281479 km
26,19.50701,-159.533226,"(19.50701, -159.533226)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",249.9756188337249 km
27,19.50719,-159.274104,"(19.507189999999998, -159.274104)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",235.03851570540425 km
28,19.50847,-157.778243,"(19.508470000000003, -157.778243)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",164.7874814010785 km
29,19.50917,-156.424593,"(19.50917, -156.424593)",Kona Commons Shopping Center,19.6494936,-156.0049149,"(19.649493600000003, -156.0049149)",46.69313944854894 km
30,19.51032,-158.538454,"(19.51032, -158.538454)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",206.22433048789438 km
31,19.51093,-155.433661,"(19.51093, -155.433661)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",42.73496214793265 km
32,19.51407,-158.072467,"(19.51407, -158.072467)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",183.3113350824224 km
33,19.51482,-155.164901,"(19.51482, -155.16490100000001)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",22.51083901622675 km
34,19.51559,-155.072198,"(19.51559, -155.072198)",Home Depot- Hilo,19.69832,-155.05909,"(19.698320000000002, -155.05909)",20.274790263385185 km
35,19.51776,-156.705625,"(19.51776, -156.705625)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",73.9025593613538 km
36,19.52053,-158.46998,"(19.520529999999997, -158.46998)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",203.72343325057722 km
37,19.52117,-155.744635,"(19.52117, -155.74463500000002)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",23.48735133417656 km
38,19.52188,-155.595947,"(19.52188, -155.595947)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",38.80939525421268 km
39,19.52241,-156.965996,"(19.52241, -156.965996)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",99.94933846383161 km
40,19.52454,-157.326447,"(19.52454, -157.326447)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",136.90819859005921 km
41,19.52609,-155.395537,"(19.52609, -155.39553700000002)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",38.43012866842144 km
42,19.53082,-157.499712,"(19.530820000000002, -157.49971200000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",148.20258594965154 km
43,19.5331,-157.881627,"(19.5331, -157.881627)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",168.89472443446704 km
44,19.5336,-158.140251,"(19.5336, -158.140251)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",186.57568696572145 km
45,19.53489,-157.23338,"(19.53489, -157.23338)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",127.09336270507761 km
46,19.53571,-159.402887,"(19.53571, -159.40288700000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",239.55916966753227 km
47,19.53591,-157.013171,"(19.53591, -157.013171)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",104.4225495655221 km
48,19.53619,-158.461131,"(19.536189999999998, -158.461131)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",201.8534891964667 km
49,19.53635,-159.428864,"(19.53635, -159.42886399999998)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",241.0240867688311 km
50,19.53983,-157.070932,"(19.53983, -157.070932)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",110.25683531060912 km
51,19.53994,-158.64166,"(19.539939999999998, -158.64166)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",205.59664085368203 km
52,19.54288,-155.973085,"(19.54288, -155.973085)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",3.393345015708206 km
53,19.54353,-155.310145,"(19.54353, -155.310145)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",29.85800524380031 km
54,19.54513,-155.260727,"(19.54513, -155.260727)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",25.71226898145295 km
55,19.54588,-155.348129,"(19.54588, -155.348129)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",33.035473120000475 km
56,19.54638,-156.269378,"(19.54638, -156.269378)",BMW of Kona,19.64405,-156.00273,"(19.64405, -156.00273)",29.991255660469434 km
57,19.54649,-157.723219,"(19.54649, -157.723219)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",158.0934206646726 km
58,19.54693,-157.693317,"(19.54693, -157.69331699999998)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",156.36537232443084 km
59,19.55191,-158.471698,"(19.55191, -158.471698)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",200.33841233871237 km
60,19.55335,-157.139043,"(19.55335, -157.139043)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",116.98694686599309 km
61,19.55352,-158.662659,"(19.553520000000002, -158.66265900000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",204.73985594686857 km
62,19.55394,-155.371166,"(19.55394, -155.371166)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",34.69207203603089 km
63,19.55416,-159.064751,"(19.55416, -159.064751)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",219.97462001248485 km
64,19.55466,-155.81106,"(19.554660000000002, -155.81106)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",15.951255897215976 km
65,19.55607,-155.0368,"(19.556070000000002, -155.0368)",Home Depot- Hilo,19.69832,-155.05909,"(19.698320000000002, -155.05909)",15.91965017746349 km
66,19.55733,-156.876277,"(19.55733, -156.87627700000002)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",89.88883837575501 km
67,19.55897,-159.239032,"(19.558970000000002, -159.239032)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",228.23123379492276 km
68,19.55959,-157.269152,"(19.55959, -157.269152)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",130.3318449556627 km
69,19.55988,-157.841516,"(19.55988, -157.84151599999998)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",163.99007725189023 km
70,19.56119,-157.289965,"(19.56119, -157.289965)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",132.46231591448372 km
71,19.56132,-155.298263,"(19.561320000000002, -155.298263)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",27.707866919573398 km
72,19.56379,-158.336651,"(19.56379, -158.336651)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",196.57354511171377 km
73,19.5643,-155.094805,"(19.5643, -155.094805)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",15.250068929178097 km
74,19.56446,-155.502409,"(19.56446, -155.502409)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",46.896836666775435 km
75,19.56559,-158.143441,"(19.56559, -158.143441)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",184.2788369931623 km
76,19.56571,-155.775133,"(19.56571, -155.775133)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",19.619977458749815 km
77,19.56792,-156.718644,"(19.56792, -156.71864399999998)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",73.55720462088775 km
78,19.56804,-156.466398,"(19.56804, -156.466398)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",48.47680846552929 km
79,19.56852,-157.935917,"(19.56852, -157.935917)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",169.37996466738315 km
80,19.56918,-159.491264,"(19.56918, -159.491264)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",241.81875345948055 km
81,19.56944,-157.813384,"(19.56944, -157.813384)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",161.38124799435894 km
82,19.57076,-159.527646,"(19.57076, -159.527646)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",243.94128377957296 km
83,19.57128,-155.952246,"(19.571279999999998, -155.952246)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",1.0254670744371206 km
84,19.57353,-158.20307,"(19.573529999999998, -158.20307)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",188.131087318492 km
85,19.57484,-159.376553,"(19.57484, -159.376553)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",234.42221217741402 km
86,19.57487,-156.886313,"(19.57487, -156.886313)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",90.49959198979536 km
87,19.57587,-156.421301,"(19.575870000000002, -156.421301)",Kona International Airport,19.7367705,-156.0397822,"(19.7367705, -156.0397822)",43.79629425166933 km
88,19.57687,-157.956482,"(19.57687, -157.956482)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",170.0625899156391 km
89,19.57784,-159.327671,"(19.57784, -159.327671)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",231.33252165883374 km
90,19.57992,-158.010257,"(19.57992, -158.010257)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",173.5257203533222 km
91,19.58494,-159.205108,"(19.58494, -159.205108)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",223.95227037156693 km
92,19.58733,-156.962105,"(19.587329999999998, -156.962105)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",98.04858953586947 km
93,19.58743,-158.226057,"(19.587429999999998, -158.226057)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",188.83296108626365 km
94,19.5879,-155.852926,"(19.5879, -155.852926)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",11.58529383524697 km
95,19.58963,-155.550854,"(19.58963, -155.55085400000002)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",43.18479529626724 km
96,19.59089,-157.908024,"(19.590889999999998, -157.908024)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",165.60634093083786 km
97,19.59234,-155.683236,"(19.59234, -155.68323600000002)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",29.33839081008402 km
98,19.59286,-155.703721,"(19.59286, -155.703721)",Keauhou Shopping Center,19.57168,-155.96201,"(19.571679999999997, -155.96201000000002)",27.201008809877383 km
99,19.5941,-157.569905,"(19.5941, -157.569905)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",145.29701943605775 km
100,19.59458,-158.541724,"(19.59458, -158.541724)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",197.18963333316412 km
101,19.59669,-158.870962,"(19.59669, -158.87096200000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",207.32956234387046 km
102,19.59775,-157.724699,"(19.59775, -157.724699)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",153.45227719730798 km
103,19.59902,-158.572609,"(19.59902, -158.572609)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",197.4534034532198 km
104,19.59985,-156.486468,"(19.59985, -156.486468)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",49.19981558233358 km
105,19.59997,-156.897528,"(19.599970000000003, -156.897528)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",91.13368977422058 km
106,19.60233,-158.300126,"(19.60233, -158.300126)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",191.4418922068679 km
107,19.60253,-156.202668,"(19.602529999999998, -156.202668)",Kaiser Permanente Kona Medical Office,19.67427,-156.01439,"(19.67427, -156.01439)",21.28442016378157 km
108,19.60339,-157.991658,"(19.60339, -157.991658)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",170.2892313041679 km
109,19.60451,-157.898136,"(19.60451, -157.89813600000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",163.78317660516004 km
110,19.60487,-158.27504,"(19.604870000000002, -158.27504)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",190.5030696411114 km
111,19.60515,-156.845401,"(19.60515, -156.845401)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",85.64874876179326 km
112,19.60518,-158.559304,"(19.605179999999997, -158.559304)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",196.46367790722329 km
113,19.60522,-155.173794,"(19.605220000000003, -155.173794)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",14.538464435319788 km
114,19.60539,-155.093035,"(19.60539, -155.09303500000001)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",10.711919649083812 km
115,19.60706,-156.568223,"(19.60706, -156.568223)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",57.19183334699159 km
116,19.60726,-156.437094,"(19.60726, -156.437094)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",44.03376780007138 km
117,19.60837,-155.92528,"(19.60837, -155.92528000000001)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",4.110185634351767 km
118,19.60896,-155.912925,"(19.60896, -155.912925)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",5.405214810737335 km
119,19.60928,-155.205503,"(19.60928, -155.205503)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",16.70362535520901 km
120,19.60948,-157.619742,"(19.609479999999998, -157.619742)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",146.4275960624896 km
121,19.61202,-157.237655,"(19.61202, -157.23765500000002)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",126.269166310412 km
122,19.61392,-159.457808,"(19.61392, -159.457808)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",235.74882287322802 km
123,19.61616,-157.245341,"(19.61616, -157.245341)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",127.01846242322208 km
124,19.61731,-157.382727,"(19.61731, -157.382727)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",134.5115121602611 km
125,19.61736,-156.849812,"(19.61736, -156.84981200000001)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",85.87821310230501 km
126,19.61885,-155.111144,"(19.61885, -155.111144)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",9.717649276446718 km
127,19.62169,-159.192842,"(19.62169, -159.19284199999998)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",219.78984980447478 km
128,19.62303,-156.453498,"(19.62303, -156.453498)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",45.12892372862433 km
129,19.62554,-157.593207,"(19.62554, -157.593207)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",143.4788518718505 km
130,19.62814,-158.002605,"(19.62814, -158.00260500000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",169.0448298218207 km
131,19.62888,-158.165405,"(19.62888, -158.165405)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",181.05002308410963 km
132,19.62907,-159.483175,"(19.629070000000002, -159.483175)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",235.977867081015 km
133,19.6309,-157.296694,"(19.6309, -157.296694)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",129.95362972959802 km
134,19.63134,-157.497241,"(19.631339999999998, -157.497241)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",138.08652205264383 km
135,19.63384,-157.526114,"(19.63384, -157.52611399999998)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",139.23992494434842 km
136,19.63629,-158.167876,"(19.63629, -158.167876)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",180.6800737330377 km
137,19.63801,-155.892827,"(19.63801, -155.892827)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",8.159973085392114 km
138,19.64076,-158.981959,"(19.64076, -158.98195900000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",207.55369787455882 km
139,19.64102,-155.833719,"(19.64102, -155.833719)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",14.15680122077787 km
140,19.64167,-156.351419,"(19.64167, -156.351419)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",34.29673387582656 km
141,19.64504,-156.251618,"(19.645039999999998, -156.251618)",Kona International Airport,19.7367705,-156.0397822,"(19.7367705, -156.0397822)",24.42216289891291 km
142,19.6473,-157.538693,"(19.6473, -157.538693)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",138.5589716891631 km
143,19.64822,-155.100921,"(19.648220000000002, -155.100921)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",6.296978045740187 km
144,19.64949,-158.983084,"(19.64949, -158.98308400000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",206.7326534136556 km
145,19.64998,-156.618751,"(19.64998, -156.618751)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",61.37772810485883 km
146,19.65039,-155.917813,"(19.650389999999998, -155.917813)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",6.684291085295733 km
147,19.65302,-157.877222,"(19.65302, -157.877222)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",158.2553775889096 km
148,19.65427,-156.152813,"(19.65427, -156.15281299999998)",Costco Kona,19.68586,-156.01706,"(19.68586, -156.01706000000001)",14.658756641203599 km
149,19.65508,-156.288732,"(19.655079999999998, -156.288732)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",27.598235722180792 km
150,19.657,-155.277444,"(19.657, -155.277444)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",21.352131919217047 km
151,19.65719,-156.093554,"(19.65719, -156.093554)",Kaiser Permanente Kona Medical Office,19.67427,-156.01439,"(19.67427, -156.01439)",8.514223478064368 km
152,19.65777,-156.107046,"(19.657770000000003, -156.107046)",Kaiser Permanente Kona Medical Office,19.67427,-156.01439,"(19.67427, -156.01439)",9.886657695521011 km
153,19.66042,-158.665255,"(19.660420000000002, -158.665255)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",193.4661430584047 km
154,19.66277,-155.895141,"(19.662770000000002, -155.895141)",Kona Nissan,19.60924,-155.96445,"(19.60924, -155.96445)",9.378720632484999 km
155,19.66483,-156.601345,"(19.66483, -156.601345)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",59.32376176037795 km
156,19.66647,-158.645824,"(19.66647, -158.645824)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",192.23924572388225 km
157,19.6709,-156.789407,"(19.6709, -156.789407)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",78.82767129726393 km
158,19.67095,-155.43145,"(19.67095, -155.43145)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",37.08141873426785 km
159,19.67366,-157.500567,"(19.67366, -157.500567)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",134.0898619476502 km
160,19.67427,-158.122996,"(19.67427, -158.122996)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",174.37018834109296 km
161,19.67958,-157.298833,"(19.679579999999998, -157.298833)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",124.93608974959061 km
162,19.68002,-156.716062,"(19.680020000000003, -156.71606200000002)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",71.07520798791386 km
163,19.68041,-155.270715,"(19.680410000000002, -155.270715)",University of Hawaii at Hilo,19.70127,-155.07925,"(19.70127, -155.07925)",20.20745582539536 km
164,19.68116,-155.593198,"(19.681160000000002, -155.593198)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",38.578902137516096 km
165,19.68199,-157.333721,"(19.68199, -157.333721)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",125.96030800133478 km
166,19.68288,-158.20256,"(19.682879999999997, -158.20256)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",179.94372511187657 km
167,19.68344,-157.49886,"(19.68344, -157.49886)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",133.05019290836066 km
168,19.68459,-157.047015,"(19.68459, -157.047015)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",105.63976105393715 km
169,19.68544,-156.465374,"(19.68544, -156.465374)",Kona International Airport at Keahole,19.7393796,-156.0410098,"(19.7393796, -156.0410098)",44.887484497260346 km
170,19.68549,-159.352242,"(19.685489999999998, -159.352242)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",222.86986456703545 km
171,19.69009,-155.596509,"(19.690089999999998, -155.596509)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",37.540997877709586 km
172,19.69077,-157.337102,"(19.69077, -157.33710200000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",125.18397422688967 km
